season	day	day_in_year	species	grass	winter_cereal	maize	grain	count
0	396	31	pinkfoot	0	0	0	0	0
0	396	31	barnacle	0	0	0	0	0
0	396	31	greylag	0	0	0	0	0
0	424	59	pinkfoot	0	0	0	0	0
0	424	59	barnacle	0	0	0	0	0
0	424	59	greylag	0	0	0	0	0
0	455	90	pinkfoot	0	0	0	0	0
0	455	90	barnacle	0	0	0	0	0
0	455	90	greylag	0	0	0	0	0
0	485	120	pinkfoot	0	0	0	0	0
0	485	120	barnacle	0	0	0	0	0
0	485	120	greylag	0	0	0	0	0
0	516	151	pinkfoot	0	0	0	0	0
0	516	151	barnacle	0	0	0	0	0
0	516	151	greylag	0	0	0	0	0
0	546	181	pinkfoot	0	0	0	0	0
0	546	181	barnacle	0	0	0	0	0
0	546	181	greylag	0	0	0	0	0
1	577	212	pinkfoot	0	0	0	0	0
1	577	212	barnacle	0	0	0	0	0
1	577	212	greylag	0.716707	0.0823245	0	0.200969	413
1	608	243	pinkfoot	0	0	0	0	0
1	608	243	barnacle	0	0	0	0	0
1	608	243	greylag	0.181892	0.11282	0	0.705287	181129
1	638	273	pinkfoot	0.0238129	0.264972	0.141889	0.569326	106245
1	638	273	barnacle	0	0	0	0	0
1	638	273	greylag	0.108447	0.116013	0.0468784	0.728662	196935
1	669	304	pinkfoot	0.0543893	0.510398	0.116088	0.319124	244331
1	669	304	barnacle	0.106425	0.0447781	0.0177191	0.831078	90580
1	669	304	greylag	0.0201411	0.458853	0.0354782	0.485528	157787
1	699	334	pinkfoot	0.0490785	0.457119	0.13442	0.359383	142486
1	699	334	barnacle	0.0585513	0.0109653	0.0129994	0.917484	148468
1	699	334	greylag	0.00401596	0.810576	0.0161321	0.169276	117282
1	730	0	pinkfoot	0	0.526207	0.36559	0.108203	144848
1	730	0	barnacle	0.0963255	0.0214175	0.215983	0.666274	112805
1	730	0	greylag	3.26837e-05	0.953251	0.0047936	0.0419222	91789
1	761	31	pinkfoot	0	0.851943	0.148057	0	173109
1	761	31	barnacle	0.00891489	0.160912	0.0240371	0.806136	114864
1	761	31	greylag	0.0268357	0.949404	0.000719255	0.023041	80639
1	789	59	pinkfoot	0	1	0	0	230892
1	789	59	barnacle	0.0323051	0.803502	0.000978623	0.163214	190063
1	789	59	greylag	0.137134	0.564095	0.0675252	0.231246	90233
1	820	90	pinkfoot	0.0892068	0.910793	0	0	262581
1	820	90	barnacle	0.0673157	0.932684	0	0	299915
1	820	90	greylag	0.103485	0.896515	0	0	77045
1	850	120	pinkfoot	0.0186546	0.981345	0	0	32378
1	850	120	barnacle	0.0952957	0.904704	0	0	188445
1	850	120	greylag	0	0	0	0	0
